circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
mimc,270,16,1,804.53,192.15,4.21,21156,8405,128,19.1
mimc,270,16,2,804.53,191.44,4.20,21156,8405,128,19.1
mimc,270,16,4,804.53,191.50,4.08,21156,8405,128,19.1
mimc,270,16,8,804.53,192.31,4.09,21156,8405,128,19.1
mimc,270,16,16,804.53,192.93,4.08,21156,8405,128,19.4
mimc,270,64,1,2821.13,515.55,4.10,86244,34421,128,95.2
mimc,270,64,2,2821.13,519.18,4.08,86244,34421,128,95.8
mimc,270,64,4,2821.13,516.35,4.08,86244,34421,128,95.8
mimc,270,64,8,2821.13,517.17,4.22,86244,34421,128,95.8
mimc,270,64,16,2821.13,516.90,4.08,86244,34421,128,95.8
mimc,270,64,32,2821.13,515.72,4.09,86244,34421,128,95.8
mimc,270,64,64,2821.13,516.94,4.07,86244,34421,128,95.8
hadamard,32,16,1,254.41,27.23,4.16,4610,2019,128,7.7
hadamard,32,16,2,254.41,27.31,4.19,4610,2019,128,7.8
hadamard,32,16,4,254.41,27.49,4.15,4610,2019,128,7.8
hadamard,32,16,8,254.41,27.94,4.15,4610,2019,128,7.8
hadamard,32,16,16,254.41,27.97,4.40,4610,2019,128,7.8
hadamard,32,64,1,786.47,72.14,4.16,18434,8163,128,19.3
hadamard,32,64,2,786.47,72.60,4.15,18434,8163,128,19.4
hadamard,32,64,4,786.47,72.59,4.15,18434,8163,128,19.4
hadamard,32,64,8,786.47,72.94,4.15,18434,8163,128,19.4
hadamard,32,64,16,786.47,73.87,4.14,18434,8163,128,19.4
hadamard,32,64,32,786.47,76.00,4.18,18434,8163,128,19.4
hadamard,32,64,64,786.47,75.31,4.14,18434,8163,128,19.5
hadamard,128,16,1,797.69,82.54,4.39,18434,8067,128,18.0
hadamard,128,16,2,797.69,83.06,4.38,18434,8067,128,18.0
hadamard,128,16,4,797.69,84.49,4.39,18434,8067,128,18.0
hadamard,128,16,8,797.69,85.79,4.38,18434,8067,128,18.1
hadamard,128,16,16,797.69,85.82,4.37,18434,8067,128,18.1
hadamard,128,64,1,2938.14,257.37,4.39,73730,32643,128,65.2
hadamard,128,64,2,2938.14,257.83,4.38,73730,32643,128,65.2
hadamard,128,64,4,2938.14,259.98,4.40,73730,32643,128,65.4
hadamard,128,64,8,2938.14,268.37,4.53,73730,32643,128,65.5
hadamard,128,64,16,2938.14,273.73,4.53,73730,32643,128,65.5
hadamard,128,64,32,2938.14,273.36,4.39,73730,32643,128,65.5
hadamard,128,64,64,2938.14,266.94,4.39,73730,32643,128,65.8
scalable,1024,16,1,4647.07,716.11,4.22,79940,31779,128,58.2
scalable,1024,16,2,4647.07,702.25,4.08,79940,31779,128,58.5
scalable,1024,16,4,4647.07,703.11,4.08,79940,31779,128,58.5
scalable,1024,16,8,4647.07,722.09,4.22,79940,31779,128,58.5
scalable,1024,16,16,4647.07,703.38,4.09,79940,31779,128,58.5
scalable,1024,64,1,15917.16,1886.08,4.22,325892,130179,128,379.4
scalable,1024,64,2,15917.16,1897.94,4.08,325892,130179,128,379.4
scalable,1024,64,4,15917.16,1899.60,4.07,325892,130179,128,379.5
scalable,1024,64,8,15917.16,1902.28,4.07,325892,130179,128,379.5
scalable,1024,64,16,15917.16,1902.41,4.07,325892,130179,128,379.8
scalable,1024,64,32,15917.16,1905.18,4.08,325892,130179,128,379.8
scalable,1024,64,64,15917.16,1909.71,4.18,325892,130179,128,381.8
scalable,16384,16,1,59666.83,8692.32,4.25,1278020,507939,128,838.5
scalable,16384,16,2,59666.83,8734.56,4.07,1278020,507939,128,838.5
scalable,16384,16,4,59666.83,8757.73,4.15,1278020,507939,128,838.5
scalable,16384,16,8,59666.83,8729.56,4.09,1278020,507939,128,838.5
scalable,16384,16,16,59666.83,8723.23,4.08,1278020,507939,128,838.5
scalable,16384,64,1,211121.20,26208.05,4.07,5210372,2080899,128,5467.7
scalable,16384,64,2,211121.20,26289.31,4.32,5210372,2080899,128,5467.8
scalable,16384,64,4,211121.20,26297.27,4.31,5210372,2080899,128,5467.8
scalable,16384,64,8,211121.20,26382.55,4.08,5210372,2080899,128,5467.8
scalable,16384,64,16,211121.20,26308.30,4.08,5210372,2080899,128,5467.8
scalable,16384,64,32,211121.20,26300.67,4.14,5210372,2080899,128,5467.8
scalable,16384,64,64,211121.20,26315.92,4.07,5210372,2080899,128,5499.8
