circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
hadamard,32,16,1,260.80,27.60,4.24,4610,2019,128,7.5,30.57,9.71,4.17,354,98,128,1382.07,31.42,31.42,1099.68,36.86,12512
hadamard,32,16,2,260.80,27.43,4.14,4610,2019,128,7.6,40.74,10.68,4.25,547,162,128,1382.07,53.99,85.41,1099.68,36.86,12512
hadamard,32,16,4,260.80,27.54,4.13,4610,2019,128,7.6,62.74,16.69,4.07,1058,290,128,1382.07,66.63,217.91,1099.68,36.86,12512
hadamard,32,16,8,260.80,27.95,4.21,4610,2019,128,7.6,92.17,23.34,4.06,1954,546,128,1382.07,68.80,491.67,1099.68,36.86,12512
hadamard,32,16,16,260.80,28.31,4.24,4610,2019,128,7.6,154.90,44.41,4.06,3746,1058,128,1382.07,68.24,1041.39,1099.68,36.86,12512
hadamard,32,64,1,788.47,72.30,4.15,18434,8163,128,19.4,30.57,9.71,4.17,354,98,128,1382.07,31.42,31.42,1099.68,36.86,12512
hadamard,32,64,2,788.47,72.47,4.15,18434,8163,128,19.4,40.74,10.68,4.25,547,162,128,1382.07,53.99,85.41,1099.68,36.86,12512
hadamard,32,64,4,788.47,72.66,4.16,18434,8163,128,19.5,62.74,16.69,4.07,1058,290,128,1382.07,66.63,217.91,1099.68,36.86,12512
hadamard,32,64,8,788.47,73.01,4.21,18434,8163,128,19.5,92.17,23.34,4.06,1954,546,128,1382.07,68.80,491.67,1099.68,36.86,12512
hadamard,32,64,16,788.47,73.94,4.16,18434,8163,128,19.5,154.90,44.41,4.06,3746,1058,128,1382.07,68.24,1041.39,1099.68,36.86,12512
hadamard,32,64,32,788.47,76.00,4.16,18434,8163,128,19.5,267.05,91.06,4.05,7330,2082,128,1382.07,67.75,2169.35,1099.68,36.86,12512
hadamard,32,64,64,788.47,75.29,4.15,18434,8163,128,19.5,468.01,179.52,4.04,14498,4130,128,1382.07,68.40,4454.62,1099.68,36.86,12512
hadamard,128,16,1,798.51,82.50,4.40,18434,8067,128,17.9,70.99,23.21,4.46,1410,386,128,1920.40,54.61,54.61,1228.78,43.47,15960
hadamard,128,16,2,798.51,83.28,4.37,18434,8067,128,18.0,107.39,25.86,4.28,2179,642,128,1920.40,92.19,146.80,1228.78,43.47,15960
hadamard,128,16,4,798.51,84.07,4.37,18434,8067,128,18.0,167.81,45.70,4.26,4226,1154,128,1920.40,104.20,356.26,1228.78,43.47,15960
