circuit,n,B,step,uvc_cum_s,g16_cum_s,nova_cum_s
mimc,270,16,1,0.9804,0.0643,2.4547
mimc,270,16,2,1.1721,0.2372,2.4968
mimc,270,16,4,1.5556,0.8265,2.6073
mimc,270,16,8,2.3224,2.8469,2.8263
mimc,270,16,16,3.8562,9.7810,3.2668
mimc,270,64,1,3.3316,0.0643,2.4547
mimc,270,64,2,3.8509,0.2372,2.4968
mimc,270,64,4,4.8895,0.8265,2.6073
mimc,270,64,8,6.9666,2.8469,2.8263
mimc,270,64,16,11.1208,9.7810,3.2668
mimc,270,64,32,19.4293,34.1805,4.2048
mimc,270,64,64,36.0463,122.4397,6.0375
mimc,1080,16,1,3.4680,0.1838,2.4642
mimc,1080,16,2,4.0916,0.6818,2.5073
mimc,1080,16,4,5.3389,2.4359,2.6228
mimc,1080,16,8,7.8334,8.6884,2.8558
mimc,1080,16,16,12.8223,31.1455,3.3167
mimc,1080,64,1,12.1996,0.1838,2.4642
mimc,1080,64,2,14.0755,0.6818,2.5073
mimc,1080,64,4,17.8274,2.4359,2.6228
mimc,1080,64,8,25.3311,8.6884,2.8558
mimc,1080,64,16,40.3387,31.1455,3.3167
mimc,1080,64,32,70.3537,112.0830,4.3230
mimc,1080,64,64,130.3838,411.6869,6.2032
mimc,4320,16,1,11.8718,0.5451,2.5082
mimc,4320,16,2,14.0664,2.0625,2.5604
mimc,4320,16,4,18.4556,7.5655,2.6904
mimc,4320,16,8,27.2340,27.8545,2.9646
mimc,4320,16,16,44.7907,103.5094,3.5039
mimc,4320,64,1,41.0234,0.5451,2.5082
mimc,4320,64,2,47.7836,2.0625,2.5604
mimc,4320,64,4,61.3041,7.5655,2.6904
mimc,4320,64,8,88.3450,27.8545,2.9646
mimc,4320,64,16,142.4268,103.5094,3.5039
mimc,4320,64,32,250.5905,384.4290,4.6173
mimc,4320,64,64,466.9179,1435.6806,6.8859
hadamard,32,16,1,0.2884,0.0201,2.5132
hadamard,32,16,2,0.3160,0.0660,2.5672
hadamard,32,16,4,0.3712,0.1968,2.6997
hadamard,32,16,8,0.4816,0.5867,2.9734
hadamard,32,16,16,0.7024,1.8460,3.5231
hadamard,32,64,1,0.8615,0.0201,2.5132
hadamard,32,64,2,0.9345,0.0660,2.5672
hadamard,32,64,4,1.0805,0.1968,2.6997
hadamard,32,64,8,1.3726,0.5867,2.9734
hadamard,32,64,16,1.9566,1.8460,3.5231
hadamard,32,64,32,3.1248,6.3054,4.6511
hadamard,32,64,64,5.4611,22.3956,6.9364
hadamard,128,16,1,0.8826,0.0471,3.2038
hadamard,128,16,2,0.9667,0.1608,3.2960
hadamard,128,16,4,1.1348,0.5076,3.5054
hadamard,128,16,8,1.4711,1.6405,3.9402
hadamard,128,16,16,2.1436,5.4801,4.7970
hadamard,128,64,1,3.0456,0.0471,3.2038
hadamard,128,64,2,3.3058,0.1608,3.2960
hadamard,128,64,4,3.8263,0.5076,3.5054
hadamard,128,64,8,4.8673,1.6405,3.9402
hadamard,128,64,16,6.9492,5.4801,4.7970
hadamard,128,64,32,11.1130,19.4636,6.4959
hadamard,128,64,64,19.4407,72.0039,9.9562
hadamard,512,16,1,3.0765,0.1396,4.1356
hadamard,512,16,2,3.3760,0.4956,4.3686
hadamard,512,16,4,3.9750,1.5997,4.8555
hadamard,512,16,8,5.1729,5.2285,5.8458
hadamard,512,16,16,7.5689,18.2453,7.8455
hadamard,512,64,1,10.4008,0.1396,4.1356
hadamard,512,64,2,11.2898,0.4956,4.3686
hadamard,512,64,4,13.0677,1.5997,4.8555
hadamard,512,64,8,16.6236,5.2285,5.8458
hadamard,512,64,16,23.7354,18.2453,7.8455
hadamard,512,64,32,37.9589,65.7398,11.8013
hadamard,512,64,64,66.4059,244.8318,19.7219
scalable,1024,16,1,5.2786,0.2671,2.5164
scalable,1024,16,2,5.9768,1.0079,2.5595
scalable,1024,16,4,7.3732,3.6083,2.6802
scalable,1024,16,8,10.1660,12.9563,2.9081
scalable,1024,16,16,15.7515,47.1388,3.3833
scalable,1024,64,1,17.9539,0.2671,2.5164
scalable,1024,64,2,19.8535,1.0079,2.5595
scalable,1024,64,4,23.6527,3.6083,2.6802
scalable,1024,64,8,31.2512,12.9563,2.9081
scalable,1024,64,16,46.4481,47.1388,3.3833
scalable,1024,64,32,76.8418,172.6431,4.3069
scalable,1024,64,64,137.6293,638.9877,6.1989
scalable,8192,16,1,34.2811,1.5280,2.8954
scalable,8192,16,2,38.7824,5.8306,2.9574
scalable,8192,16,4,47.7849,21.7508,3.1073
scalable,8192,16,8,65.7900,80.6238,3.4187
scalable,8192,16,16,101.8002,300.4605,4.0790
scalable,8192,64,1,120.2902,1.5280,2.8954
scalable,8192,64,2,133.5716,5.8306,2.9574
scalable,8192,64,4,160.1345,21.7508,3.1073
scalable,8192,64,8,213.2603,80.6238,3.4187
scalable,8192,64,16,319.5119,300.4605,4.0790
scalable,8192,64,32,532.0151,1123.5497,5.3008
scalable,8192,64,64,957.0215,4214.1791,7.8245
scalable,65536,16,1,232.5567,9.4674,3.2257
scalable,65536,16,2,264.3628,36.7172,3.4289
scalable,65536,16,4,327.9751,139.1620,3.8607
scalable,65536,16,8,455.1996,525.2928,4.7425
scalable,65536,16,16,709.6487,1992.1990,6.4868
scalable,65536,64,1,869.3839,9.4674,3.2257
scalable,65536,64,2,972.8645,36.7172,3.4289
scalable,65536,64,4,1179.8257,139.1620,3.8607
scalable,65536,64,8,1593.7480,525.2928,4.7425
scalable,65536,64,16,2421.5926,1992.1990,6.4868
scalable,65536,64,32,4077.2819,7638.2941,10.0639
scalable,65536,64,64,7388.6605,29369.2499,17.0200
