circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
sensor_fusion,4,1,10.03,3.53,2.70,41,13,128
sensor_fusion,4,2,12.09,4.88,2.70,76,23,128
sensor_fusion,4,4,16.51,6.69,2.73,151,43,128
sensor_fusion,4,8,24.90,9.85,2.73,287,83,128
sensor_fusion,4,16,36.74,17.67,3.06,575,163,128
sensor_fusion,4,1,9.79,3.51,2.72,41,13,128
sensor_fusion,4,2,11.95,4.87,2.72,76,23,128
sensor_fusion,4,4,16.74,6.75,2.73,151,43,128
sensor_fusion,4,8,23.27,9.78,2.71,287,83,128
sensor_fusion,4,16,36.67,16.16,2.70,575,163,128
sensor_fusion,4,32,63.45,22.07,2.68,1151,323,128
sensor_fusion,4,64,99.76,36.74,2.69,2303,643,128
sensor_fusion,8,1,12.34,4.92,2.68,69,21,128
sensor_fusion,8,2,16.04,6.59,2.68,135,39,128
sensor_fusion,8,4,22.39,8.74,2.67,259,75,128
sensor_fusion,8,8,33.83,14.45,2.69,523,147,128
sensor_fusion,8,16,55.72,21.21,2.74,1019,291,128
sensor_fusion,8,1,12.74,5.02,2.78,69,21,128
sensor_fusion,8,2,16.04,6.71,2.75,135,39,128
sensor_fusion,8,4,22.16,8.89,2.69,259,75,128
sensor_fusion,8,8,35.34,14.56,2.71,523,147,128
sensor_fusion,8,16,59.05,21.42,2.74,1019,291,128
sensor_fusion,8,32,91.65,35.31,2.78,2043,579,128
sensor_fusion,8,64,157.09,62.31,2.69,4091,1155,128
sensor_fusion,16,1,15.99,6.65,2.68,125,37,128
sensor_fusion,16,2,22.91,9.07,2.74,255,71,128
sensor_fusion,16,4,33.01,14.22,2.64,491,139,128
sensor_fusion,16,8,53.27,20.89,2.73,963,275,128
sensor_fusion,16,16,85.98,31.85,2.69,1939,547,128
sensor_fusion,16,1,16.41,6.82,2.71,125,37,128
sensor_fusion,16,2,22.54,8.99,2.74,255,71,128
sensor_fusion,16,4,33.12,14.38,2.69,491,139,128
sensor_fusion,16,8,53.06,20.95,2.85,963,275,128
sensor_fusion,16,16,90.95,31.58,2.75,1939,547,128
sensor_fusion,16,32,148.35,60.10,2.74,3827,1091,128
sensor_fusion,16,64,255.64,91.32,2.75,7667,2179,128
sensor_fusion,32,1,21.64,9.03,2.67,237,69,128
sensor_fusion,32,2,33.14,14.71,2.70,495,135,128
sensor_fusion,32,4,52.93,21.45,2.75,955,267,128
sensor_fusion,32,8,85.02,31.50,2.78,1875,531,128
sensor_fusion,32,16,146.11,55.16,2.75,3715,1059,128
sensor_fusion,32,1,22.21,8.98,2.77,237,69,128
sensor_fusion,32,2,32.98,14.67,2.74,495,135,128
sensor_fusion,32,4,52.56,21.33,2.70,955,267,128
sensor_fusion,32,8,84.28,31.35,2.76,1875,531,128
sensor_fusion,32,16,145.22,55.19,2.75,3715,1059,128
sensor_fusion,32,32,250.11,92.49,2.75,7459,2115,128
sensor_fusion,32,64,450.75,158.35,2.73,14819,4227,128
sensor_fusion,64,1,35.74,15.50,3.00,461,133,128
sensor_fusion,64,2,57.85,23.07,2.89,975,263,128
sensor_fusion,64,4,92.75,33.74,3.14,1883,523,128
sensor_fusion,64,8,156.74,59.54,2.96,3699,1043,128
sensor_fusion,64,16,256.91,112.42,3.66,7331,2083,128
sensor_fusion,64,1,33.80,14.77,2.74,461,133,128
sensor_fusion,64,2,53.85,22.18,2.78,975,263,128
sensor_fusion,64,4,86.43,32.31,2.75,1883,523,128
sensor_fusion,64,8,143.73,57.45,2.93,3699,1043,128
sensor_fusion,64,16,253.43,90.59,2.79,7331,2083,128
sensor_fusion,64,32,440.60,149.61,2.77,14595,4163,128
sensor_fusion,64,64,858.21,277.89,2.77,29251,8323,128
