circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
sensor_fusion,4,64,1,148.68,14.69,2.67,2922,1274,128,7.9,9.71,3.48,2.69,41,13,128,744.27,14.06,14.06,594.09,22.38,11520
sensor_fusion,4,64,2,148.68,14.94,2.68,2922,1274,128,7.9,12.03,4.79,2.69,76,23,128,744.27,29.52,43.58,594.09,22.38,11520
sensor_fusion,4,64,4,148.68,15.16,2.71,2922,1274,128,8.0,16.61,6.68,2.71,151,43,128,744.27,31.82,106.39,594.09,22.38,11520
sensor_fusion,4,64,8,148.68,15.12,2.68,2922,1274,128,8.0,23.47,9.62,2.67,287,83,128,744.27,49.84,250.93,594.09,22.38,11520
sensor_fusion,4,64,16,148.68,14.83,2.67,2922,1274,128,8.0,35.82,15.83,2.70,575,163,128,744.27,39.95,535.18,594.09,22.38,11520
sensor_fusion,4,64,32,148.68,14.99,2.68,2922,1274,128,8.0,57.52,22.01,2.72,1151,323,128,744.27,31.59,1083.46,594.09,22.38,11520
sensor_fusion,4,64,64,148.68,14.67,2.68,2922,1274,128,8.0,99.01,36.23,2.69,2303,643,128,744.27,31.16,2106.82,594.09,22.38,11520
sensor_fusion,4,256,1,416.40,40.20,2.70,11754,5114,128,33.9,9.71,3.48,2.69,41,13,128,744.27,14.06,14.06,594.09,22.38,11520
sensor_fusion,4,256,2,416.40,40.50,2.68,11754,5114,128,33.9,12.03,4.79,2.69,76,23,128,744.27,29.52,43.58,594.09,22.38,11520
sensor_fusion,4,256,4,416.40,40.75,2.69,11754,5114,128,34.0,16.61,6.68,2.71,151,43,128,744.27,31.82,106.39,594.09,22.38,11520
sensor_fusion,4,256,8,416.40,40.90,2.68,11754,5114,128,34.0,23.47,9.62,2.67,287,83,128,744.27,49.84,250.93,594.09,22.38,11520
sensor_fusion,4,256,16,416.40,40.84,2.66,11754,5114,128,34.0,35.82,15.83,2.70,575,163,128,744.27,39.95,535.18,594.09,22.38,11520
sensor_fusion,4,256,32,416.40,40.86,2.68,11754,5114,128,34.0,57.52,22.01,2.72,1151,323,128,744.27,31.59,1083.46,594.09,22.38,11520
sensor_fusion,4,256,64,416.40,40.95,2.68,11754,5114,128,34.0,99.01,36.23,2.69,2303,643,128,744.27,31.16,2106.82,594.09,22.38,11520
sensor_fusion,4,256,128,416.40,40.61,2.66,11754,5114,128,34.0,169.88,65.63,2.68,4607,1283,128,744.27,31.62,4181.93,594.09,22.38,11520
sensor_fusion,4,256,256,416.40,40.56,2.64,11754,5114,128,34.0,299.00,101.86,2.67,9215,2563,128,744.27,53.18,8350.63,594.09,22.38,11520
sensor_fusion,4,1024,1,1352.90,119.88,2.79,47082,20474,128,414.3,9.71,3.48,2.69,41,13,128,744.27,14.06,14.06,594.09,22.38,11520
sensor_fusion,4,1024,2,1352.90,122.54,2.68,47082,20474,128,414.4,12.03,4.79,2.69,76,23,128,744.27,29.52,43.58,594.09,22.38,11520
sensor_fusion,4,1024,4,1352.90,121.68,2.69,47082,20474,128,414.5,16.61,6.68,2.71,151,43,128,744.27,31.82,106.39,594.09,22.38,11520
sensor_fusion,4,1024,8,1352.90,120.94,2.71,47082,20474,128,414.5,23.47,9.62,2.67,287,83,128,744.27,49.84,250.93,594.09,22.38,11520
sensor_fusion,4,1024,16,1352.90,121.64,2.77,47082,20474,128,414.5,35.82,15.83,2.70,575,163,128,744.27,39.95,535.18,594.09,22.38,11520
sensor_fusion,4,1024,32,1352.90,120.56,2.70,47082,20474,128,414.5,57.52,22.01,2.72,1151,323,128,744.27,31.59,1083.46,594.09,22.38,11520
sensor_fusion,4,1024,64,1352.90,122.29,2.72,47082,20474,128,414.5,99.01,36.23,2.69,2303,643,128,744.27,31.16,2106.82,594.09,22.38,11520
sensor_fusion,4,1024,128,1352.90,121.81,2.77,47082,20474,128,414.6,169.88,65.63,2.68,4607,1283,128,744.27,31.62,4181.93,594.09,22.38,11520
sensor_fusion,4,1024,256,1352.90,121.12,2.67,47082,20474,128,414.7,299.00,101.86,2.67,9215,2563,128,744.27,53.18,8350.63,594.09,22.38,11520
sensor_fusion,4,1024,512,1352.90,121.05,2.73,47082,20474,128,414.7,542.92,182.96,2.75,18431,5123,128,744.27,31.63,16728.47,594.09,22.38,11520
sensor_fusion,4,1024,1024,1352.90,121.40,2.67,47082,20474,128,414.9,984.06,339.16,2.74,36863,10243,128,744.27,31.94,33314.24,594.09,22.38,11520
sensor_fusion,6,64,1,167.00,17.46,2.69,4064,1782,128,9.0,10.98,3.96,2.73,55,17,128,755.16,13.93,13.93,596.09,21.84,11520
sensor_fusion,6,64,2,167.00,17.74,2.70,4064,1782,128,9.0,14.25,6.17,2.74,105,31,128,755.16,24.36,38.28,596.09,21.84,11520
sensor_fusion,6,64,4,167.00,17.58,2.70,4064,1782,128,9.1,19.49,7.35,2.75,205,59,128,755.16,31.02,99.88,596.09,21.84,11520
sensor_fusion,6,64,8,167.00,17.82,2.64,4064,1782,128,9.1,29.24,10.79,2.73,398,115,128,755.16,32.67,230.63,596.09,21.84,11520
sensor_fusion,6,64,16,167.00,17.71,2.75,4064,1782,128,9.1,45.40,17.93,2.73,797,227,128,755.16,34.85,511.76,596.09,21.84,11520
sensor_fusion,6,64,32,167.00,17.73,2.72,4064,1782,128,9.1,74.15,25.85,2.71,1597,451,128,755.16,31.80,1055.54,596.09,21.84,11520
sensor_fusion,6,64,64,167.00,17.52,2.68,4064,1782,128,9.1,126.11,43.57,2.73,3197,899,128,755.16,36.61,2121.21,596.09,21.84,11520
sensor_fusion,6,256,1,511.24,48.48,2.71,16352,7158,128,44.6,10.98,3.96,2.73,55,17,128,755.16,13.93,13.93,596.09,21.84,11520
sensor_fusion,6,256,2,511.24,48.84,2.72,16352,7158,128,44.7,14.25,6.17,2.74,105,31,128,755.16,24.36,38.28,596.09,21.84,11520
sensor_fusion,6,256,4,511.24,48.94,2.71,16352,7158,128,44.7,19.49,7.35,2.75,205,59,128,755.16,31.02,99.88,596.09,21.84,11520
sensor_fusion,6,256,8,511.24,49.05,2.73,16352,7158,128,44.7,29.24,10.79,2.73,398,115,128,755.16,32.67,230.63,596.09,21.84,11520
sensor_fusion,6,256,16,511.24,48.80,2.73,16352,7158,128,44.7,45.40,17.93,2.73,797,227,128,755.16,34.85,511.76,596.09,21.84,11520
sensor_fusion,6,256,32,511.24,48.93,2.65,16352,7158,128,44.7,74.15,25.85,2.71,1597,451,128,755.16,31.80,1055.54,596.09,21.84,11520
sensor_fusion,6,256,64,511.24,48.93,2.71,16352,7158,128,44.7,126.11,43.57,2.73,3197,899,128,755.16,36.61,2121.21,596.09,21.84,11520
sensor_fusion,6,256,128,511.24,49.12,2.67,16352,7158,128,44.7,218.18,78.55,2.72,6397,1795,128,755.16,31.75,4221.40,596.09,21.84,11520
sensor_fusion,6,256,256,511.24,48.70,2.73,16352,7158,128,44.7,418.54,127.19,2.86,12797,3587,128,755.16,32.27,8521.26,596.09,21.84,11520
sensor_fusion,6,1024,1,1813.42,146.93,2.70,65504,28662,128,565.4,10.98,3.96,2.73,55,17,128,755.16,13.93,13.93,596.09,21.84,11520
sensor_fusion,6,1024,2,1813.42,147.34,2.79,65504,28662,128,565.5,14.25,6.17,2.74,105,31,128,755.16,24.36,38.28,596.09,21.84,11520
sensor_fusion,6,1024,4,1813.42,148.81,2.73,65504,28662,128,565.5,19.49,7.35,2.75,205,59,128,755.16,31.02,99.88,596.09,21.84,11520
sensor_fusion,6,1024,8,1813.42,149.24,2.72,65504,28662,128,565.5,29.24,10.79,2.73,398,115,128,755.16,32.67,230.63,596.09,21.84,11520
sensor_fusion,6,1024,16,1813.42,152.28,2.84,65504,28662,128,565.8,45.40,17.93,2.73,797,227,128,755.16,34.85,511.76,596.09,21.84,11520
sensor_fusion,6,1024,32,1813.42,149.81,2.77,65504,28662,128,565.8,74.15,25.85,2.71,1597,451,128,755.16,31.80,1055.54,596.09,21.84,11520
sensor_fusion,6,1024,64,1813.42,149.87,2.75,65504,28662,128,565.8,126.11,43.57,2.73,3197,899,128,755.16,36.61,2121.21,596.09,21.84,11520
sensor_fusion,6,1024,128,1813.42,149.45,2.77,65504,28662,128,565.9,218.18,78.55,2.72,6397,1795,128,755.16,31.75,4221.40,596.09,21.84,11520
sensor_fusion,6,1024,256,1813.42,150.73,2.72,65504,28662,128,565.9,418.54,127.19,2.86,12797,3587,128,755.16,32.27,8521.26,596.09,21.84,11520
sensor_fusion,6,1024,512,1813.42,149.92,2.76,65504,28662,128,566.0,725.42,229.71,2.77,25597,7171,128,755.16,31.90,17049.24,596.09,21.84,11520
sensor_fusion,6,1024,1024,1813.42,150.16,2.72,65504,28662,128,566.3,1316.43,428.22,2.70,51197,14339,128,755.16,31.75,34148.29,596.09,21.84,11520
sensor_fusion,8,64,1,207.88,24.90,2.79,5206,2290,128,10.2,12.43,5.02,2.75,69,21,128,798.89,14.83,14.83,546.09,20.89,11520
sensor_fusion,8,64,2,207.88,25.44,2.87,5206,2290,128,10.3,16.04,6.66,2.77,135,39,128,798.89,28.86,43.70,546.09,20.89,11520
sensor_fusion,8,64,4,207.88,24.98,2.73,5206,2290,128,10.3,22.56,8.75,2.73,259,75,128,798.89,32.11,107.22,546.09,20.89,11520
sensor_fusion,8,64,8,207.88,25.18,2.78,5206,2290,128,10.3,34.04,14.56,2.69,523,147,128,798.89,31.18,232.95,546.09,20.89,11520
sensor_fusion,8,64,16,207.88,25.37,2.74,5206,2290,128,10.3,55.40,21.44,2.72,1019,291,128,798.89,32.12,488.33,546.09,20.89,11520
sensor_fusion,8,64,32,207.88,25.05,2.72,5206,2290,128,10.3,92.65,35.02,2.78,2043,579,128,798.89,31.36,999.31,546.09,20.89,11520
sensor_fusion,8,64,64,207.88,23.63,2.76,5206,2290,128,10.3,156.85,62.44,2.77,4091,1155,128,798.89,37.07,2078.49,546.09,20.89,11520
sensor_fusion,8,256,1,636.98,60.96,2.70,20950,9202,128,54.9,12.43,5.02,2.75,69,21,128,798.89,14.83,14.83,546.09,20.89,11520
sensor_fusion,8,256,2,636.98,61.62,2.75,20950,9202,128,54.9,16.04,6.66,2.77,135,39,128,798.89,28.86,43.70,546.09,20.89,11520
sensor_fusion,8,256,4,636.98,61.43,2.77,20950,9202,128,55.0,22.56,8.75,2.73,259,75,128,798.89,32.11,107.22,546.09,20.89,11520
sensor_fusion,8,256,8,636.98,61.38,2.79,20950,9202,128,55.0,34.04,14.56,2.69,523,147,128,798.89,31.18,232.95,546.09,20.89,11520
sensor_fusion,8,256,16,636.98,61.58,2.75,20950,9202,128,55.0,55.40,21.44,2.72,1019,291,128,798.89,32.12,488.33,546.09,20.89,11520
sensor_fusion,8,256,32,636.98,61.76,2.72,20950,9202,128,55.0,92.65,35.02,2.78,2043,579,128,798.89,31.36,999.31,546.09,20.89,11520
sensor_fusion,8,256,64,636.98,61.37,2.73,20950,9202,128,55.0,156.85,62.44,2.77,4091,1155,128,798.89,37.07,2078.49,546.09,20.89,11520
sensor_fusion,8,256,128,636.98,62.04,2.73,20950,9202,128,55.0,279.20,96.08,2.75,8187,2307,128,798.89,31.51,4216.18,546.09,20.89,11520
sensor_fusion,8,256,256,636.98,60.77,2.74,20950,9202,128,55.2,490.13,168.64,2.69,16379,4611,128,798.89,32.16,8387.63,546.09,20.89,11520
sensor_fusion,8,1024,1,2212.29,198.87,2.73,83926,36850,128,718.5,12.43,5.02,2.75,69,21,128,798.89,14.83,14.83,546.09,20.89,11520
sensor_fusion,8,1024,2,2212.29,199.76,2.70,83926,36850,128,718.5,16.04,6.66,2.77,135,39,128,798.89,28.86,43.70,546.09,20.89,11520
sensor_fusion,8,1024,4,2212.29,200.13,2.71,83926,36850,128,718.6,22.56,8.75,2.73,259,75,128,798.89,32.11,107.22,546.09,20.89,11520
sensor_fusion,8,1024,8,2212.29,200.14,2.66,83926,36850,128,718.6,34.04,14.56,2.69,523,147,128,798.89,31.18,232.95,546.09,20.89,11520
sensor_fusion,8,1024,16,2212.29,200.21,2.70,83926,36850,128,718.6,55.40,21.44,2.72,1019,291,128,798.89,32.12,488.33,546.09,20.89,11520
sensor_fusion,8,1024,32,2212.29,200.55,2.71,83926,36850,128,718.6,92.65,35.02,2.78,2043,579,128,798.89,31.36,999.31,546.09,20.89,11520
sensor_fusion,8,1024,64,2212.29,201.10,2.75,83926,36850,128,718.6,156.85,62.44,2.77,4091,1155,128,798.89,37.07,2078.49,546.09,20.89,11520
sensor_fusion,8,1024,128,2212.29,201.45,2.68,83926,36850,128,718.7,279.20,96.08,2.75,8187,2307,128,798.89,31.51,4216.18,546.09,20.89,11520
sensor_fusion,8,1024,256,2212.29,201.63,2.74,83926,36850,128,718.7,490.13,168.64,2.69,16379,4611,128,798.89,32.16,8387.63,546.09,20.89,11520
sensor_fusion,8,1024,512,2212.29,201.46,2.74,83926,36850,128,718.9,928.80,323.90,2.79,32763,9219,128,798.89,32.01,16780.23,546.09,20.89,11520
sensor_fusion,8,1024,1024,2212.29,199.92,2.75,83926,36850,128,719.3,1649.55,538.93,2.78,65531,18435,128,798.89,32.75,33768.22,546.09,20.89,11520
