circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
sensor_fusion,4,1,776.12,13.63,13.63,552.46,20.49,11520
sensor_fusion,4,2,776.12,24.50,38.13,552.46,20.49,11520
sensor_fusion,4,4,776.12,31.47,99.83,552.46,20.49,11520
sensor_fusion,4,8,776.12,31.54,226.76,552.46,20.49,11520
sensor_fusion,4,16,776.12,31.72,480.75,552.46,20.49,11520
sensor_fusion,4,32,776.12,31.24,990.10,552.46,20.49,11520
sensor_fusion,4,64,776.12,31.71,2018.80,552.46,20.49,11520
sensor_fusion,4,1,759.29,14.18,14.18,563.60,21.62,11520
sensor_fusion,4,2,759.29,24.72,38.91,563.60,21.62,11520
sensor_fusion,4,4,759.29,31.86,101.46,563.60,21.62,11520
sensor_fusion,4,8,759.29,31.76,227.65,563.60,21.62,11520
sensor_fusion,4,16,759.29,32.30,488.44,563.60,21.62,11520
sensor_fusion,4,32,759.29,31.39,1002.07,563.60,21.62,11520
sensor_fusion,4,64,759.29,31.56,2028.07,563.60,21.62,11520
sensor_fusion,4,128,759.29,31.26,4061.22,563.60,21.62,11520
sensor_fusion,4,256,759.29,32.24,8352.48,563.60,21.62,11520
sensor_fusion,4,1,740.12,13.92,13.92,563.95,20.56,11520
sensor_fusion,4,2,740.12,24.72,38.64,563.95,20.56,11520
sensor_fusion,4,4,740.12,31.66,101.38,563.95,20.56,11520
sensor_fusion,4,8,740.12,31.22,227.78,563.95,20.56,11520
sensor_fusion,4,16,740.12,46.18,525.69,563.95,20.56,11520
sensor_fusion,4,32,740.12,31.63,1042.73,563.95,20.56,11520
sensor_fusion,4,64,740.12,32.25,2148.56,563.95,20.56,11520
sensor_fusion,4,128,740.12,33.53,4271.98,563.95,20.56,11520
sensor_fusion,4,256,740.12,32.65,8689.55,563.95,20.56,11520
sensor_fusion,4,512,740.12,33.05,17446.54,563.95,20.56,11520
sensor_fusion,4,1024,740.12,32.25,34550.72,563.95,20.56,11520
sensor_fusion,6,1,778.72,14.64,14.64,556.96,22.89,11520
sensor_fusion,6,2,778.72,34.05,48.69,556.96,22.89,11520
sensor_fusion,6,4,778.72,32.45,114.37,556.96,22.89,11520
sensor_fusion,6,8,778.72,31.78,241.35,556.96,22.89,11520
sensor_fusion,6,16,778.72,31.24,496.26,556.96,22.89,11520
sensor_fusion,6,32,778.72,31.12,1013.62,556.96,22.89,11520
sensor_fusion,6,64,778.72,32.28,2069.24,556.96,22.89,11520
sensor_fusion,6,1,748.96,13.98,13.98,561.68,21.16,11520
sensor_fusion,6,2,748.96,24.38,38.36,561.68,21.16,11520
sensor_fusion,6,4,748.96,31.75,100.16,561.68,21.16,11520
sensor_fusion,6,8,748.96,32.07,227.83,561.68,21.16,11520
sensor_fusion,6,16,748.96,31.98,494.97,561.68,21.16,11520
sensor_fusion,6,32,748.96,31.64,1007.00,561.68,21.16,11520
sensor_fusion,6,64,748.96,31.82,2036.76,561.68,21.16,11520
sensor_fusion,6,128,748.96,32.99,4147.80,561.68,21.16,11520
sensor_fusion,6,256,748.96,33.11,8462.14,561.68,21.16,11520
sensor_fusion,6,1,758.55,14.13,14.13,721.64,26.19,11520
sensor_fusion,6,2,758.55,24.34,38.47,721.64,26.19,11520
sensor_fusion,6,4,758.55,32.03,100.62,721.64,26.19,11520
sensor_fusion,6,8,758.55,45.03,239.76,721.64,26.19,11520
sensor_fusion,6,16,758.55,32.55,629.07,721.64,26.19,11520
sensor_fusion,6,32,758.55,32.72,1198.09,721.64,26.19,11520
sensor_fusion,6,64,758.55,39.89,2271.96,721.64,26.19,11520
sensor_fusion,6,128,758.55,35.71,4628.58,721.64,26.19,11520
sensor_fusion,6,256,758.55,37.02,9705.92,721.64,26.19,11520
sensor_fusion,6,512,758.55,32.20,18378.52,721.64,26.19,11520
sensor_fusion,6,1024,758.55,36.19,36668.80,721.64,26.19,11520
sensor_fusion,8,1,871.39,14.88,14.88,644.45,21.63,11520
sensor_fusion,8,2,871.39,34.35,49.23,644.45,21.63,11520
sensor_fusion,8,4,871.39,35.59,144.33,644.45,21.63,11520
sensor_fusion,8,8,871.39,34.24,283.55,644.45,21.63,11520
sensor_fusion,8,16,871.39,33.71,584.11,644.45,21.63,11520
sensor_fusion,8,32,871.39,34.24,1227.70,644.45,21.63,11520
sensor_fusion,8,64,871.39,33.76,2444.67,644.45,21.63,11520
sensor_fusion,8,1,886.38,15.53,15.53,551.62,21.26,11520
sensor_fusion,8,2,886.38,28.53,44.06,551.62,21.26,11520
sensor_fusion,8,4,886.38,34.58,112.22,551.62,21.26,11520
sensor_fusion,8,8,886.38,32.55,240.14,551.62,21.26,11520
sensor_fusion,8,16,886.38,33.32,502.41,551.62,21.26,11520
sensor_fusion,8,32,886.38,54.29,1130.64,551.62,21.26,11520
sensor_fusion,8,64,886.38,32.42,2277.94,551.62,21.26,11520
sensor_fusion,8,128,886.38,33.07,4495.22,551.62,21.26,11520
sensor_fusion,8,256,886.38,32.81,9185.31,551.62,21.26,11520
sensor_fusion,8,1,776.19,14.23,14.23,592.38,20.68,11520
sensor_fusion,8,2,776.19,25.84,40.07,592.38,20.68,11520
sensor_fusion,8,4,776.19,32.67,103.58,592.38,20.68,11520
sensor_fusion,8,8,776.19,31.08,229.26,592.38,20.68,11520
sensor_fusion,8,16,776.19,31.30,485.56,592.38,20.68,11520
sensor_fusion,8,32,776.19,32.06,1004.13,592.38,20.68,11520
sensor_fusion,8,64,776.19,31.46,2049.34,592.38,20.68,11520
sensor_fusion,8,128,776.19,48.93,4392.04,592.38,20.68,11520
