
====================================================================================
  Cumulative Total Time (seconds) — setup + all proving steps
====================================================================================
      Circuit  n     B  UVC total(s)  G16 total(s)  Nova total(s)  UVC/G16  UVC/Nova
-------------  -  ----  ------------  ------------  -------------  -------  --------
Sensor fusion  4    64           1.1           5.0            3.5    0.22x     0.31x
Sensor fusion  4   256          10.9          57.4           10.0    0.19x     1.09x
Sensor fusion  4  1024         124.6         717.6           35.9    0.17x     3.48x
Sensor fusion  6    64           1.3           6.3            3.8    0.21x     0.35x
Sensor fusion  6   256          13.0          74.3           11.2    0.18x     1.16x
Sensor fusion  6  1024         155.4         953.1           38.1    0.16x     4.07x
Sensor fusion  8    64           1.8           7.9            3.4    0.23x     0.53x
Sensor fusion  8   256          16.4          92.0           10.2    0.18x     1.60x
Sensor fusion  8  1024         210.1        1230.1           36.5    0.17x     5.76x
