circuit,n,B,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes,peak_mem_mb
sensor_fusion,4,64,1,223.68,22.72,4.01,2922,1274,128,8.0
sensor_fusion,4,64,2,223.68,23.18,4.20,2922,1274,128,8.1
sensor_fusion,4,64,4,223.68,23.24,4.01,2922,1274,128,8.1
sensor_fusion,4,64,8,223.68,23.71,4.01,2922,1274,128,8.1
sensor_fusion,4,64,16,223.68,23.17,4.17,2922,1274,128,8.1
sensor_fusion,4,64,32,223.68,23.85,4.21,2922,1274,128,8.1
sensor_fusion,4,64,64,223.68,23.31,4.24,2922,1274,128,8.1
sensor_fusion,4,256,1,660.53,60.94,3.95,11754,5114,128,35.8
sensor_fusion,4,256,2,660.53,61.43,3.98,11754,5114,128,35.9
sensor_fusion,4,256,4,660.53,61.37,3.96,11754,5114,128,35.9
sensor_fusion,4,256,8,660.53,61.59,3.96,11754,5114,128,35.9
sensor_fusion,4,256,16,660.53,61.35,3.97,11754,5114,128,35.9
sensor_fusion,4,256,32,660.53,61.57,3.96,11754,5114,128,35.9
sensor_fusion,4,256,64,660.53,61.45,3.96,11754,5114,128,35.9
sensor_fusion,4,256,128,660.53,61.41,3.95,11754,5114,128,35.9
sensor_fusion,4,256,256,660.53,61.28,3.98,11754,5114,128,35.9
sensor_fusion,4,1024,1,2000.36,181.81,4.10,47082,20474,128,416.5
sensor_fusion,4,1024,2,2000.36,185.59,4.09,47082,20474,128,416.5
sensor_fusion,4,1024,4,2000.36,185.55,3.97,47082,20474,128,416.6
sensor_fusion,4,1024,8,2000.36,180.43,3.97,47082,20474,128,416.6
sensor_fusion,4,1024,16,2000.36,180.37,3.96,47082,20474,128,416.6
sensor_fusion,4,1024,32,2000.36,180.46,4.00,47082,20474,128,416.6
sensor_fusion,4,1024,64,2000.36,180.63,3.97,47082,20474,128,416.6
sensor_fusion,4,1024,128,2000.36,180.67,3.96,47082,20474,128,416.6
sensor_fusion,4,1024,256,2000.36,180.93,3.98,47082,20474,128,416.6
sensor_fusion,4,1024,512,2000.36,181.00,3.97,47082,20474,128,416.6
sensor_fusion,4,1024,1024,2000.36,181.20,3.98,47082,20474,128,416.8
sensor_fusion,6,64,1,248.75,25.89,3.99,4064,1782,128,8.8
sensor_fusion,6,64,2,248.75,26.38,3.97,4064,1782,128,8.8
sensor_fusion,6,64,4,248.75,26.32,3.97,4064,1782,128,8.9
sensor_fusion,6,64,8,248.75,26.48,3.98,4064,1782,128,8.9
sensor_fusion,6,64,16,248.75,26.42,3.97,4064,1782,128,8.9
sensor_fusion,6,64,32,248.75,26.28,3.96,4064,1782,128,8.9
sensor_fusion,6,64,64,248.75,26.49,3.96,4064,1782,128,8.9
sensor_fusion,6,256,1,766.14,71.80,3.96,16352,7158,128,43.8
sensor_fusion,6,256,2,766.14,72.63,3.98,16352,7158,128,43.8
sensor_fusion,6,256,4,766.14,72.63,3.99,16352,7158,128,43.8
sensor_fusion,6,256,8,766.14,72.84,3.96,16352,7158,128,43.8
sensor_fusion,6,256,16,766.14,72.90,3.97,16352,7158,128,43.8
sensor_fusion,6,256,32,766.14,72.66,3.96,16352,7158,128,43.9
sensor_fusion,6,256,64,766.14,72.75,3.97,16352,7158,128,43.9
sensor_fusion,6,256,128,766.14,72.81,3.96,16352,7158,128,43.9
sensor_fusion,6,256,256,766.14,72.72,3.98,16352,7158,128,43.9
sensor_fusion,6,1024,1,2663.94,219.65,3.97,65504,28662,128,560.4
sensor_fusion,6,1024,2,2663.94,220.72,3.98,65504,28662,128,560.4
sensor_fusion,6,1024,4,2663.94,221.23,4.06,65504,28662,128,560.4
sensor_fusion,6,1024,8,2663.94,221.23,3.97,65504,28662,128,560.4
sensor_fusion,6,1024,16,2663.94,221.56,4.01,65504,28662,128,560.4
sensor_fusion,6,1024,32,2663.94,221.54,3.98,65504,28662,128,560.4
sensor_fusion,6,1024,64,2663.94,222.08,3.98,65504,28662,128,560.4
