circuit,n,step,setup_ms,prove_ms,verify_ms,crs_g1,crs_g2,proof_bytes
mimc,270,1,59.66,75.70,4.21,1104,274,128
mimc,270,2,96.38,129.23,4.09,2173,545,128
mimc,270,4,159.84,211.12,3.93,4343,1087,128
mimc,270,8,275.66,347.68,3.94,8683,2171,128
mimc,270,16,469.11,610.74,4.21,17363,4339,128
mimc,270,1,56.34,71.37,3.95,1104,274,128
mimc,270,2,89.77,125.05,3.95,2173,545,128
mimc,270,4,152.65,203.56,3.95,4343,1087,128
mimc,270,8,271.07,335.51,3.95,8683,2171,128
mimc,270,16,474.08,611.09,3.96,17363,4339,128
mimc,270,32,858.45,1069.32,3.96,34723,8675,128
mimc,270,64,1627.15,1889.53,3.96,69443,17347,128
hadamard,16,1,20.45,6.15,4.00,178,50,128
hadamard,16,2,27.90,6.94,4.19,275,82,128
hadamard,16,4,39.01,10.24,4.00,530,146,128
hadamard,16,8,57.05,15.84,3.99,978,274,128
hadamard,16,16,89.92,24.57,4.14,1874,530,128
hadamard,16,1,20.61,6.18,4.20,178,50,128
hadamard,16,2,28.30,6.78,4.02,275,82,128
hadamard,16,4,38.09,10.46,4.11,530,146,128
hadamard,16,8,59.93,16.60,4.13,978,274,128
hadamard,16,16,90.16,24.21,4.06,1874,530,128
hadamard,16,32,153.66,52.99,3.98,3666,1042,128
hadamard,16,64,260.48,109.79,3.98,7250,2066,128
hadamard,32,1,29.20,9.66,4.33,354,98,128
hadamard,32,2,41.24,10.45,4.04,547,162,128
hadamard,32,4,59.26,16.59,4.15,1058,290,128
hadamard,32,8,97.25,24.22,4.03,1954,546,128
hadamard,32,16,155.18,44.32,4.03,3746,1058,128
hadamard,32,1,28.88,9.46,4.04,354,98,128
hadamard,32,2,39.28,10.49,4.17,547,162,128
hadamard,32,4,63.87,16.62,4.04,1058,290,128
hadamard,32,8,92.32,23.44,4.02,1954,546,128
hadamard,32,16,154.11,44.37,4.03,3746,1058,128
hadamard,32,32,262.39,91.05,4.04,7330,2082,128
hadamard,32,64,461.32,179.35,4.05,14498,4130,128
scalable,1024,1,237.26,295.92,3.97,4106,1028,128
scalable,1024,2,428.97,511.80,3.96,8205,2053,128
scalable,1024,4,754.08,884.71,3.97,16403,4103,128
scalable,1024,8,1383.63,1622.30,3.97,32799,8203,128
scalable,1024,16,2582.90,2916.38,4.15,65591,16403,128
scalable,1024,1,236.93,295.10,3.97,4106,1028,128
scalable,1024,2,428.08,510.96,3.96,8205,2053,128
scalable,1024,4,755.38,884.31,3.96,16403,4103,128
scalable,1024,8,1395.84,1619.83,3.95,32799,8203,128
scalable,1024,16,2767.95,2913.26,3.95,65591,16403,128
scalable,1024,32,4746.52,5328.50,3.95,131175,32803,128
scalable,1024,64,8915.14,9955.20,3.96,262343,65603,128
scalable,16384,1,2586.15,2914.84,3.96,65546,16388,128
scalable,16384,2,4756.95,5332.25,3.95,131085,32773,128
scalable,16384,4,8873.54,9980.80,3.97,262163,65543,128
scalable,16384,8,16844.29,19044.04,3.96,524319,131083,128
scalable,16384,16,31641.51,35086.06,3.97,1048631,262163,128
scalable,16384,1,2604.54,2928.46,3.97,65546,16388,128
scalable,16384,2,4737.05,5351.17,3.96,131085,32773,128
scalable,16384,4,8919.46,10007.03,3.97,262163,65543,128
scalable,16384,8,16910.74,18668.19,3.97,524319,131083,128
scalable,16384,16,31693.36,35201.47,3.96,1048631,262163,128
scalable,16384,32,60130.77,65798.00,3.96,2097255,524323,128
scalable,16384,64,114438.87,125739.07,3.96,4194503,1048643,128
