circuit,n,step,setup_ms,fold_ms,total_fold_ms,compress_ms,verify_ms,proof_bytes
mimc,270,1,1364.56,24.63,24.63,1114.67,40.63,11520
mimc,270,2,1364.56,53.64,78.27,1114.67,40.63,11520
mimc,270,4,1364.56,52.95,186.95,1114.67,40.63,11520
mimc,270,8,1364.56,54.35,403.35,1114.67,40.63,11520
mimc,270,16,1364.56,54.21,845.98,1114.67,40.63,11520
mimc,270,32,1364.56,54.70,1864.79,1114.67,40.63,11520
mimc,270,64,1364.56,58.66,3701.91,1114.67,40.63,11520
hadamard,16,1,1362.93,27.25,27.25,1125.45,41.04,12000
hadamard,16,2,1362.93,48.04,75.29,1125.45,41.04,12000
hadamard,16,4,1362.93,57.39,190.26,1125.45,41.04,12000
hadamard,16,8,1362.93,60.54,437.71,1125.45,41.04,12000
hadamard,16,16,1362.93,59.11,944.04,1125.45,41.04,12000
hadamard,16,32,1362.93,59.54,1932.23,1125.45,41.04,12000
hadamard,16,64,1362.93,58.78,3918.56,1125.45,41.04,12000
hadamard,32,1,1385.26,48.68,48.68,1243.91,40.12,12512
hadamard,32,2,1385.26,67.08,115.75,1243.91,40.12,12512
hadamard,32,4,1385.26,73.22,271.45,1243.91,40.12,12512
hadamard,32,8,1385.26,67.96,545.27,1243.91,40.12,12512
hadamard,32,16,1385.26,73.82,1135.86,1243.91,40.12,12512
hadamard,32,32,1385.26,70.87,2329.28,1243.91,40.12,12512
hadamard,32,64,1385.26,67.93,4697.82,1243.91,40.12,12512
scalable,1024,1,1335.66,26.27,26.27,1087.18,36.07,11520
scalable,1024,2,1335.66,55.59,81.87,1087.18,36.07,11520
scalable,1024,4,1335.66,54.37,190.86,1087.18,36.07,11520
scalable,1024,8,1335.66,56.22,414.86,1087.18,36.07,11520
scalable,1024,16,1335.66,57.62,903.94,1087.18,36.07,11520
scalable,1024,32,1335.66,56.88,1835.82,1087.18,36.07,11520
scalable,1024,64,1335.66,56.48,3752.99,1087.18,36.07,11520
scalable,16384,1,1744.23,47.96,47.96,1237.39,36.76,11896
scalable,16384,2,1744.23,87.65,135.61,1237.39,36.76,11896
scalable,16384,4,1744.23,103.40,354.74,1237.39,36.76,11896
scalable,16384,8,1744.23,127.49,787.40,1237.39,36.76,11896
scalable,16384,16,1744.23,98.47,1590.87,1237.39,36.76,11896
scalable,16384,32,1744.23,97.18,3241.79,1237.39,36.76,11896
scalable,16384,64,1744.23,108.44,6436.85,1237.39,36.76,11896
